2018-10-13 11:22:42,751: 'h'
2018-10-13 11:22:42,867: 'y'
2018-10-13 11:22:43,057: Key.space
2018-10-13 11:22:43,357: 'h'
2018-10-13 11:22:43,478: 'y'
2018-10-13 11:22:43,717: Key.space
2018-10-13 11:22:44,497: 'r'
2018-10-13 11:22:44,624: 'i'
2018-10-13 11:22:44,729: 't'
2018-10-13 11:22:45,214: 'w'
2018-10-13 11:22:45,343: 'i'
2018-10-13 11:22:45,543: 'k'
2018-10-13 11:22:45,770: Key.space
2018-10-13 11:22:45,976: 'm'
2018-10-13 11:22:46,092: 'a'
2018-10-13 11:22:46,199: 'n'
2018-10-13 11:22:46,899: Key.space
2018-10-13 11:22:47,354: 'd'
2018-10-13 11:22:47,491: 'a'
2018-10-13 11:22:47,696: 'l'
2018-10-13 11:22:47,891: 'l'
2018-10-13 11:22:48,061: 'l'
2018-10-13 11:22:48,236: 'l'
2018-10-13 11:22:48,407: 'l'
2018-10-13 11:22:48,575: 'l'
2018-10-13 11:22:48,730: 'l'
2018-10-13 11:22:48,902: 'l'
2018-10-13 11:22:49,087: 'l'
2018-10-13 11:22:49,259: 'l'
2018-10-13 11:22:49,446: 'l'
2018-10-13 11:22:49,609: 'l'
2018-10-13 11:22:49,794: 'l'
2018-10-13 11:22:49,948: 'l'
2018-10-13 11:22:50,058: Key.ctrl_l
2018-10-13 11:22:50,193: '\x01'
2018-10-13 11:22:50,338: Key.backspace
2018-10-13 11:22:52,098: Key.down
2018-10-13 11:22:52,404: Key.enter
2018-10-13 11:22:53,727: Key.down
2018-10-13 11:22:53,727: Key.down
2018-10-13 11:22:54,219: Key.enter
2018-10-13 11:22:54,219: Key.enter
2018-10-13 11:23:07,281: Key.shift_r
2018-10-13 11:23:07,281: Key.shift_r
2018-10-13 11:23:07,509: Key.delete
2018-10-13 11:23:07,509: Key.delete
2018-10-13 11:23:08,105: Key.enter
2018-10-13 11:23:08,105: Key.enter
2018-10-13 11:23:08,110: '\\'
2018-10-13 11:23:08,111: '\\'
2018-10-13 11:23:09,315: Key.left
2018-10-13 11:23:09,316: Key.left
2018-10-13 11:23:09,785: Key.right
2018-10-13 11:23:09,785: Key.right
2018-10-13 11:23:10,137: Key.enter
2018-10-13 11:23:13,566: Key.ctrl_l
2018-10-13 11:23:13,566: Key.ctrl_l
2018-10-13 11:23:13,821: '\x03'
2018-10-13 11:23:13,821: '\x03'
2018-10-13 11:23:14,116: Key.backspace
